½n«×,¸g«×
23.1236,120.46874
23.1013,120.35557
25.03813,121.54631
24.36309,120.62367
22.6603,120.48133
24.16864,120.68909
24.12956,120.6271
25.1502,121.40581
22.97394,120.18501
25.00633,121.46206
23.1846,120.26783
23.18357,120.26091
23.00792,120.23165
22.96353,120.33732
23.19143,120.31542
23.01564,120.20524
23.26591,120.1236
22.96724,120.19456
22.99996,120.23772
23.08009,120.28816
22.67625,120.50434
22.97592,120.21202
24.05214,120.69734
22.46466,120.44893
23.16405,120.17571
23.02196,120.18479
23.02729,120.18768
23.00884,120.18303
22.99123,120.1956
22.99945,120.15803
23.25931,120.10826
22.98844,120.17223
22.99755,120.1709
22.99772,120.21193
22.96167,120.23038
22.99308,120.19592
23.00357,120.23087
23.31392,120.31668
22.99048,120.14755
24.80335,120.99651
24.80676,120.97522
24.79972,120.99163
24.80558,120.94032
24.77719,121.0251
24.77501,120.944
24.79231,121.00249
24.77236,121.01698
24.7748,121.0078
24.77228,121.00496
24.77219,121.0082
24.77577,121.01099
24.76981,121.00532
24.778,121.01901
24.77131,121.01319
24.7679,121.0221
24.76697,121.02508
24.77505,121.01906
24.77604,121.0228
24.78819,121.00834
24.77816,121.00931
24.7798,121.00738
24.78727,121.00959
24.77589,121.01619
24.7758,121.00466
24.77698,121.01218
24.77666,120.99686
24.77451,121.00213
24.77943,120.99977
24.785,120.99084
24.77645,120.98544
24.78375,121.00059
24.76306,121.02219
24.81949,120.97289
24.8161,120.95694
24.7685,120.97718
23.03828,120.23324
24.79706,120.94198
24.82323,120.97324
24.80516,120.95095
24.80822,120.96436
24.80059,120.98809
24.7987,121.00598
24.79848,120.99746
24.21662,120.52652
24.18264,120.57498
24.23445,120.66694
24.79419,121.00333
24.79116,121.01749
24.79194,121.01467
24.78213,121.01058
24.17469,120.73512
22.43847,120.47365
22.45712,120.47963
22.97585,120.21945
22.98132,120.2352
22.96469,120.21999
22.96447,120.23705
23.00782,120.17967
22.99568,120.20957
25.04487,121.61481
25.1419,121.4989
25.02965,121.51415
25.07074,121.61803
25.03551,121.54951
22.98652,120.24639
22.97737,120.21982
23.0366,120.12509
25.08153,121.49026
25.00133,121.47261
23.01415,120.20666
23.01736,120.20931
24.15998,120.66339
24.17761,120.57627
24.16944,120.61963
25.08565,121.38538
24.19673,120.7075
22.62188,120.29079
25.00435,121.50186
22.71517,120.31425
22.59108,120.31325
22.6332,120.372
22.65109,120.29905
22.44713,120.45511
22.45199,120.45816
22.66276,120.47878
24.13021,120.63704
23.30565,120.29342
23.27843,120.31192
22.96079,120.24341
22.95923,120.22681
25.08647,121.82719
25.06095,121.82316
25.00492,121.50358
25.03914,121.8665
25.05887,121.85198
24.23784,120.57052
24.15368,120.65377
24.2154,120.55836
24.21741,120.56791
23.02954,120.30652
23.03562,120.31153
23.03371,120.29797
23.02054,120.22876
25.07978,121.44905
23.18229,120.2482
23.19837,120.29699
23.02082,120.2223
22.97435,120.24154
22.99101,120.17097
23.31984,120.31187
22.46467,120.45579
22.46738,120.45452
22.4674,120.45944
22.46073,120.44129
22.66042,120.47776
24.21872,120.701
24.02959,120.68555
22.99328,120.17961
22.99115,120.21043
24.92701,121.36891
25.07307,121.48424
22.9843,120.16984
22.46625,120.45109
22.46908,120.45532
22.4688,120.44607
24.95515,121.34285
24.73534,121.09057
24.90279,121.04415
22.98996,120.17875
25.02528,121.55224
25.02208,121.52678
25.09322,121.37874
22.67337,120.49366
22.66208,120.50491
22.99286,120.1767
23.02506,120.23797
25.06416,121.65726
25.06735,121.6424
24.97848,121.41828
24.9771,121.53455
24.92526,121.36551
24.15736,120.67766
25.00414,121.50429
25.04485,121.45271
25.03114,121.48137
25.00587,121.51591
23.00397,120.21322
25.00229,121.50883
25.08152,121.56489
24.34662,120.64658
25.07713,121.38195
24.93036,121.3741
24.92239,121.36717
24.26393,120.71944
25.06432,121.54537
25.0448,121.54213
25.04812,121.52166
24.90307,121.04327
24.90176,121.03808
24.86994,121.033
23.01927,120.13589
22.98877,120.16009
25.08619,121.47693
22.58196,120.31645
25.03795,121.55466
25.04132,121.55393
23.00064,120.22511
25.07941,121.57277
25.07733,121.5727
25.08049,121.57361
25.07821,121.57103
25.06605,121.58206
24.18239,120.60984
24.19529,120.70128
24.17986,120.61161
24.1795,120.6062
24.18298,120.61223
24.17761,120.59946
24.17864,120.60199
24.18055,120.60094
24.17943,120.60011
24.18098,120.59938
25.06266,121.66294
23.00088,120.19879
23.00385,120.18189
22.99671,120.19705
22.99374,120.19335
25.08202,121.56861
25.06749,121.57784
25.08019,121.56316
25.06126,121.58201
23.1281,120.29298
23.13305,120.29624
23.00254,120.13935
22.99879,120.15029
23.02176,120.25917
23.03919,120.23957
23.03627,120.23742
22.99874,120.23264
23.01973,120.20136
23.00594,120.21618
22.99921,120.18458
22.99327,120.19438
22.99219,120.18871
23.01631,120.20152
22.67363,120.50896
22.5496,120.53648
22.66281,120.48884
22.67879,120.49777
22.67454,120.4894
22.68212,120.49706
22.99801,120.18482
23.0385,120.2606
25.08188,121.46407
23.00958,120.20561
22.54668,120.54953
25.02682,121.51737
25.03212,121.51861
25.03898,121.53058
25.02484,121.51973
25.08355,121.47325
25.06339,121.45805
22.5451,120.56937
22.55241,120.54041
25.08203,121.56298
25.08318,121.56154
25.08156,121.56227
22.99765,120.22444
22.99684,120.22565
23.00665,120.2242
24.97956,121.54613
25.06888,121.57711
25.07897,121.5737
24.78562,121.01261
24.78982,121.01347
22.65845,120.4812
22.67342,120.50288
22.66282,120.50641
22.68747,120.47129
25.07345,121.57848
25.08067,121.5656
25.06407,121.57787
25.06805,121.58488
25.06151,121.57811
24.17347,120.64872
23.07883,120.29502
24.94495,121.34102
25.07464,121.36821
23.10189,120.28391
23.02246,120.2336
23.03862,120.25413
22.99797,120.21238
22.67686,120.47776
24.34322,120.61907
24.16372,120.61829
24.18707,120.61154
24.12889,120.68516
24.99197,121.57371
24.77827,121.05532
24.71979,121.09571
24.72988,121.08917
24.73681,121.09169
24.73327,121.08814
24.72273,121.09597
24.73561,121.09517
24.738,121.09437
24.7301,121.09302
24.73871,121.09028
24.74835,121.08273
24.74763,121.08022
24.73945,121.08559
24.74498,121.08535
24.78117,121.03144
24.77921,121.03425
24.86752,120.98575
24.86475,120.9849
24.76952,121.0572
22.9673,120.29463
22.92479,120.29455
23.31511,120.32299
22.92226,120.28535
23.31069,120.28218
23.30933,120.30762
23.33157,120.31718
23.31105,120.31462
23.30647,120.32277
23.30503,120.30632
23.3079,120.31223
23.10225,120.28843
23.09865,120.28203
23.06834,120.29022
23.10788,120.30206
23.03355,120.30926
23.11406,120.28186
23.13364,120.30599
23.13015,120.30167
22.93491,120.18588
23.1145,120.27483
23.10799,120.26996
22.98155,120.19737
22.98852,120.18956
22.97497,120.20288
22.98286,120.18433
22.97682,120.20046
22.97818,120.20157
22.98633,120.19201
22.9854,120.18636
22.9786,120.1953
22.93058,120.17631
22.93306,120.18056
22.96742,120.18786
22.96154,120.18743
22.98066,120.20353
22.98117,120.21054
22.97271,120.19054
22.98396,120.22339
22.9779,120.23104
