SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,AREA,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEA000001,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B2F北區停車場司機休息室,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.038475,121.564314,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"The driver lounge in North Wing parking lot on B2F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000002,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B2F東北區,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.037819,121.564812,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"North-east Wing on B2F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000003,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B2F市府生活廣場,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.037654,121.564547,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"Life plaza on B2F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000004,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B2F便利商店,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.03753,121.564316,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"The convenience store on B2F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000005,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B2F郵局,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.037825,121.564147,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"The post office on B2F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000006,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B2F西南區,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.037186,121.564074,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"The South-west Wing on B2F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000007,379110000G,臺北市政府,臺北市政府工務局,行政機關,臺北市政府大樓B2F南區停車場司機休息室,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.036578,121.564243,Taipei City Government,"Poblic Works Department,Taipei City Government",Government Agency,"The driver lounge in South Wing parking lot on B2F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000008,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B1F北區停車場西北側司機休息室,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.038516,121.564128,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"The driver lounge of northwest area in North Wing parking lot on B1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000009,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B1F北區停車場中央司機休息室,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.038311,121.564635,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"The driver lounge of central area in North Wing parking lot on B1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000010,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B1F北區停車場東北側司機休息室,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.038449,121.564993,Taipei City Government,"Department of Environmental Protection,Taipei City Government",Government Agency,"The driver lounge of northeast area in North Wing parking lot on B1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000012,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B1F公管中心,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.037646,121.564113,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"City Hall Management Office on B1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000013,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B1F餐廳北側,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.037656,121.564849,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"The north area of Cafeteria on B1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000014,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B1F餐廳中央,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.037536,121.564853,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"The central area of  Cafeteria on B1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000015,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B1F餐廳南側,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.0374,121.564847,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"The south area of Cafeteria on B1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000016,379130000C,臺北市政府,臺北市政府警察局,行政機關,臺北市政府大樓B1F駐警隊,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.037491,121.5642,Taipei City Government,Taipei City Police Department,Government Agency,"Security Unit on B1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000017,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B1F餐廳門口,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.037383,121.564495,Taipei City Government,"Department of Health,Taipei City Government",Government Agency,"The entrance of Cafeteria on B1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000018,379030000D,臺北市政府,臺北市政府財政局,行政機關,臺北市政府大樓B1F公庫處,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.037161,121.564335,Taipei City Government,"Department of Information Technology,Taipei City Government",Government Agency,"City Treasury on B1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000019,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B1F南區停車場西南側司機休息室,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.036649,121.563996,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"The driver lounge of  southwest area in South Wing parking lot on B1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000020,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B1F南區停車場中央司機休息室,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.036821,121.564607,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"The driver lounge of central area in South Wing parking lot on B1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000021,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓B1F南區停車場東南側司機休息室,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.036554,121.56502,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"The driver lounge of south area in South Wing parking lot on B1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000022,379010000A,臺北市政府,臺北市政府秘書處,行政機關,臺北市政府大樓1F北大門,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.03847,121.564382,Taipei City Government,"Secretariat,Taipei City Government",Government Agency,"North Gate, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000023,379670000G,臺北市政府,臺北市政府產業發展局,行政機關,臺北市政府大樓1F北區東側辦公室北方,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.038371,121.564521,Taipei City Government,"Department of Economic Development,Taipei City Government",Government Agency,"The northern office of east area in North Wing on 1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
TPEA000024,379670000G,臺北市政府,臺北市政府產業發展局,行政機關,臺北市政府大樓1F北區東側辦公室南方,中華電信,,110,臺北市,信義區,110臺北市信義區市府路1號,25.038073,121.564531,Taipei City Government,"Department of Economic Development,Taipei City Government",Government Agency,"The southern office of east area iin North Wing on 1F, Taipei City Hall",Taipei City,Xinyi District,"No.1,City Hall Rd.,Xinyi Dist.,Taipei City110,Taiwan,R.O.C."
