WKT,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate,﻿站點名稱,緯度,經度,圖片,站點位置
"POINT (121.5436 25.02605)",5.00101001E8,YouBike2.0_捷運科技大樓站,28.0,3.0,大安區,2023-04-17 06:51:14,25.02605,121.5436,復興南路二段235號前,Daan Dist.,YouBike2.0_MRT Technology Bldg. Sta.,No.235， Sec. 2， Fuxing S. Rd.,25.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:51:14,2023-04-17,,,,,
"POINT (121.54357 25.02565)",5.00101002E8,YouBike2.0_復興南路二段273號前,21.0,2.0,大安區,2023-04-17 06:52:38,25.02565,121.54357,復興南路二段273號西側,Daan Dist.,YouBike2.0_No.273， Sec. 2， Fuxing S. Rd.,No.273， Sec. 2， Fuxing S. Rd. (West),19.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:52:38,2023-04-17,,,,,
"POINT (121.54124 25.02429)",5.00101003E8,YouBike2.0_國北教大實小東側門,16.0,9.0,大安區,2023-04-17 06:54:13,25.02429,121.54124,和平東路二段96巷7號,Daan Dist.,YouBike2.0_NTUE Experiment Elementary School (East),No. 7， Ln. 96， Sec. 2， Heping E. Rd,7.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:54:13,2023-04-17,,,,,
"POINT (121.54282 25.02351)",5.00101004E8,YouBike2.0_和平公園東側,11.0,2.0,大安區,2023-04-17 06:43:39,25.02351,121.54282,和平東路二段118巷33號,Daan Dist.,YouBike2.0_Heping Park (East),No. 33， Ln. 118， Sec. 2， Heping E. Rd,9.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:43:39,2023-04-17,,,,,
"POINT (121.54299 25.02153)",5.00101005E8,YouBike2.0_辛亥復興路口西北側,16.0,4.0,大安區,2023-04-17 06:51:14,25.02153,121.54299,復興南路二段368號,Daan Dist.,YouBike2.0_Xinhai Fuxing Rd. Intersection (Northwest),No. 368， Sec. 2， Fuxing S. Rd.,12.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:51:14,2023-04-17,,,,,
"POINT (121.54328 25.02429)",5.00101006E8,YouBike2.0_復興南路二段280號前,11.0,2.0,大安區,2023-04-17 06:52:04,25.02429,121.54328,復興南路二段280號,Daan Dist.,YouBike2.0_No. 280， Sec. 2， Fuxing S. Rd.,No. 280， Sec. 2， Fuxing S. Rd.,9.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:52:04,2023-04-17,,,,,
"POINT (121.54326 25.02253)",5.00101007E8,YouBike2.0_復興南路二段340巷口,11.0,3.0,大安區,2023-04-17 06:28:13,25.02253,121.54326,復興南路二段342號,Daan Dist.,YouBike2.0_Ln. 340， Sec. 2， Fuxing S. Rd.,No. 342， Sec. 2， Fuxing S. Rd.,8.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:28:13,2023-04-17,,,,,
"POINT (121.53407 25.02112)",5.00101008E8,YouBike2.0_新生南路三段52號前,17.0,1.0,大安區,2023-04-16 23:06:04,25.02112,121.53407,新生南路三段52號,Daan Dist.,YouBike2.0_No. 52， Sec. 3， Xinsheng S. Rd.,No. 52， Sec. 3， Xinsheng S. Rd.,16.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-16 23:06:04,2023-04-16,,,,,
"POINT (121.53384 25.01976)",5.00101009E8,YouBike2.0_新生南路三段66號前,16.0,4.0,大安區,2023-04-17 06:49:38,25.01976,121.53384,新生南路三段66號東側,Daan Dist.,YouBike2.0_No. 66， Sec. 3， Xinsheng S. Rd.,No. 66， Sec. 3， Xinsheng S. Rd. (East),12.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:49:38,2023-04-17,,,,,
"POINT (121.53361 25.01894)",5.0010101E8,YouBike2.0_新生南路三段82號前,20.0,3.0,大安區,2023-04-17 06:42:39,25.01894,121.53361,新生南路三段82號,Daan Dist.,YouBike2.0_No. 82， Sec. 3， Xinsheng S. Rd.,No. 82， Sec. 3， Xinsheng S. Rd.,17.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:42:39,2023-04-17,,,,,
