country,city,village,number,name,address,administration,latitude,longitude,grade,type2,type
臺中市,西屯區,大福里,B060000614,民營水湳市場(男廁),台中市西屯區中清路二段189巷57號,縣市政府,24.17703600000000000,120.66770500000000000,特優級,男廁所,市場
臺中市,西屯區,惠來里,B060000533,財政部中區國稅局臺中分局1F(男廁),臺中市西屯區文心路二段99號,財政部,24.15839000000000000,120.64675000000000000,特優級,男廁所,公家機關設置供民眾使用者
臺中市,西屯區,惠來里,B060000305,新光三越B5F-男廁,臺中市西屯區台灣大道3段301號,縣市政府,24.16573000000000000,120.64365000000000000,特優級,男廁所,百貨公司
臺中市,西屯區,惠來里,B060000255,新光三越7F(北側)-男廁,臺中市西屯區台灣大道3段301號,縣市政府,24.16573000000000000,120.64365000000000000,特優級,男廁所,百貨公司
臺中市,西屯區,惠來里,B060000246,新光三越9F(南側)-男廁,臺中市西屯區台灣大道3段301號,縣市政府,24.16573000000000000,120.64365000000000000,特優級,男廁所,百貨公司
臺中市,北　區,錦平里,B050000445,中友百貨C棟3F(女廁),臺中市北區三民路三段161號,其他,24.15184432977810000,120.68965315818800000,特優級,女廁所,百貨公司
新竹縣,湖口鄉,鳳山村,J050000156,新豐加油站男廁,新竹縣湖口鄉鳳山村新興路330號,經濟部,24.87270200000000000,121.00030900000000000,特優級,男廁所,加油站
新竹縣,湖口鄉,鳳山村,J050000146,湖口服務區(南下)南棟男廁,新竹縣湖口鄉鳳山村國強街1巷8號,交通部,24.85825300000000000,121.00874800000000000,特優級,男廁所,公路車站服務區及休息站
新竹縣,竹東鎮,雞林里,J020000112,竹東鎮公所一樓女廁,新竹縣竹東鎮雞林里東林路88號,縣市政府,24.73680900000000000,121.09148200000000000,特優級,女廁所,各級機關學校
新竹縣,竹北市,斗崙里,J010000015,家樂福男廁,新竹縣竹北市斗崙里光明六路89號1樓,縣市政府,24.82659700000000000,121.01010900000000000,特優級,男廁所,量販店
臺南市,新營區,護鎮里,D010000212,臺南市新營體育場環保局後方男廁,臺南市新營區護鎮里長榮路二段７８號,縣市政府,23.32167900000000000,120.31290000000000000,特優級,男廁所,公家機關設置供民眾使用者
臺南市,新營區,大宏里,D010000187,新營區公所南側1F女廁,臺南市新營區大宏里中正路３０號,縣市政府,23.31027700000000000,120.31664100000000000,特優級,女廁所,各級機關學校
臺南市,新營區,忠政里,D010000078,臺南市政府財政稅務局新營分局1F女廁,臺南市新營區忠政里民治路３６號,縣市政府,23.31166400000000000,120.31468600000000000,特優級,女廁所,各級機關學校
臺南市,新營區,新北里,D010000439,動物防疫保護處1F男廁,臺南市新營區王公里長榮路一段５０１號,縣市政府,23.31968200000000000,120.31899200000000000,特優級,男廁所,各級機關學校
臺南市,新營區,民權里,D010000110,新營市立文化中心音樂廳1F左側男廁,臺南市新營區民權里中正路２３號,縣市政府,23.30854400000000000,120.31589100000000000,特優級,男廁所,文化育樂活動場所
臺南市,新營區,大宏里,D010000107,新營市立文化中心3樓男廁,臺南市新營區民權里中正路２３號,縣市政府,23.30854400000000000,120.31589100000000000,特優級,男廁所,文化育樂活動場所
新北市,中和區,民有里,F030001121,民享市場北側-女廁,中和區民享街37號,縣市政府,25.00307200000000000,121.47416300000000000,優等級,女廁所,市場
新北市,中和區,清穗里,F030000867,民德立體停車場南側1F-男廁,中和區民德路188號,縣市政府,24.99895200000000000,121.46810500000000000,特優級,男廁所,公家機關設置供民眾使用者
新北市,中和區,自強里,F030000860,清穗公園(A)(公廿九)-女廁,中和區華順街2巷內,縣市政府,24.99887800000000000,121.46981100000000000,特優級,女廁所,公園
新北市,中和區,員山里,F030000705,中和環球購物中心4F環球影城北側-男廁,中和區中山路三段122號,縣市政府,25.00607700000000000,121.47568900000000000,特優級,男廁所,百貨公司
新北市,中和區,員山里,F030000702,中和環球購物中心3F北側-女廁,中和區中山路三段122號,縣市政府,25.00607700000000000,121.47568900000000000,特優級,女廁所,百貨公司
新北市,中和區,東南里,F030000504,麥當勞中和興南店-男廁,中和區興南路一段83號1樓,縣市政府,24.98874500000000000,121.50982300000000000,特優級,男廁所,餐廳
新北市,中和區,福善里,F030000303,大潤發中和店1F-男廁,中和區中山路二段228號,縣市政府,25.00288100000000000,121.49920700000000000,特優級,男廁所,量販店
新北市,三峽區,永館里,F090000081,麥當勞三峽文化店-男廁,新北市三峽區文化路72號,經濟部,24.93623000000000000,121.37215500000000000,優等級,男廁所,餐廳
新北市,鶯歌區,南靖里,F080000297,麥當勞鶯歌文化店1F-女廁,新北市鶯歌區文化路363號,其他,24.95109200000000000,121.35228900000000000,特優級,女廁所,餐廳
臺中市,潭子區,甘蔗里,B170000367,潭子國民暨兒童運動中心3F-男廁,臺中市潭子區勝利路140號,縣市政府,24.21035900000000000,120.70192400000000000,特優級,男廁所,文化育樂活動場所
高雄市,鳳山區,福興里,E120000742,高雄市立圖書館鳳山二館3F男廁(南鳳山),高雄市鳳山區自強一路119巷75號,縣市政府,22.58917900000000000,120.32717500000000000,優等級,男廁所,各級社教機關
臺北市,士林區,義信里,A110000040,捷運劍潭站南女,臺北市士林區中山北路五段65號,縣市政府,25.08356200000000000,121.52516300000000000,特優級,女廁所,捷運車站
臺北市,南港區,合成里,A090000459,捷運昆陽站男,臺北市南港區忠孝東路六段451號,縣市政府,25.05061100000000000,121.59379600000000000,特優級,男廁所,捷運車站
新竹市,東　區,榮光里,O010000072,新竹火車站男廁,新竹市東區中華路２段445號,交通部,24.80159400000000000,120.97158000000000000,特優級,男廁所,鐵路局
新竹市,東　區,榮光里,O010000064,新竹客運新竹北站女廁,新竹市中華路二段415號,其他,24.80231700000000000,120.97225800000000000,優等級,女廁所,公路車站服務區及休息站
南投縣,水里鄉,車埕村,M110000041,車埕火車站女廁,南投縣水里鄉車埕村民權巷2號,交通部,23.83253980275330000,120.86567968129700000,特優級,女廁所,鐵路局
南投縣,仁愛鄉,大同村,M130000045,仁愛鄉公所清潔隊旁公廁,南投縣仁愛鄉仁和路2號,縣市政府,24.01742055923960000,121.13015621900100000,特優級,混合廁所,公家機關設置供民眾使用者
南投縣,仁愛鄉,大同村,M130000040,清境農場遊客休閒中心男廁,南投縣仁愛鄉大同村仁和路171號,國軍退除役官兵輔導委員會,24.04733407335420000,121.15595459936200000,特優級,男廁所,觀光地區及風景區
金門縣,烈嶼鄉,上林村,W050000002,上林將軍廟男廁,金門縣烈嶼鄉上林村上林77號,內政部,24.42857275038150000,118.22858422994600000,特優級,男廁所,觀光地區及風景區
金門縣,金湖鎮,山外里,W030000002,太武山1號男廁,金門縣金湖鎮山外里太武山50號,內政部,24.45612500000000000,118.40261000000000000,特優級,男廁所,觀光地區及風景區
金門縣,金城鎮,金水里,W010000033,金水國小女廁,金門縣金城鎮金水里前水頭47號,內政部,24.40932000000000000,118.29797700000000000,特優級,女廁所,觀光地區及風景區
花蓮縣,玉里鎮,泰昌里,U030000069,玉里衛生所-1樓男廁,花蓮縣玉里鎮泰昌里中正路152號,縣市政府,23.33640900000000000,121.31491600000000000,特優級,男廁所,公家機關設置供民眾使用者
新北市,三重區,中山里,F020000732,中油國園加油站-女廁,新北市三重區重新路3段49號,縣市政府,25.06144000000000000,121.49294900000000000,特優級,混合廁所,加油站
臺中市,西屯區,福和里,B060000938,台中世貿中心1館2F(男廁),臺中市西屯區天保街60號,縣市政府,24.17680000000000000,120.61642000000000000,特優級,男廁所,文化育樂活動場所
新北市,平溪區,新寮里,F240000109,十分瀑布停車場-女廁,新寮里月桃寮1號,縣市政府,25.04975489905700000,121.78554475307500000,特優級,女廁所,觀光地區及風景區
新北市,平溪區,南山里,F240000073,十分旅客中心1F-男廁,平溪區南山里南山坪136號,縣市政府,25.04722775450530000,121.78268082439900000,特優級,男廁所,觀光地區及風景區
新北市,三重區,六合里,F020001016,六合閱覽室2F-女廁,新北市三重區自強路二段50巷22號2樓,縣市政府,25.06916200000000000,121.48826100000000000,特優級,女廁所,文化育樂活動場所
新北市,石門區,老梅里,F220000047,老人活動中心-男廁,"老梅里公地44號 ",其他,25.28955491572000000,121.54555141925800000,特優級,男廁所,民眾團體活動場所
新北市,三芝區,埔坪里,F210000137,共榮社區(源興居)-男廁,三芝區埔坪里埔頭坑156號(源興居),其他,25.24920800000000000,121.50919700000000000,特優級,男廁所,觀光地區及風景區
新北市,三芝區,埔頭里,F210000112,停一停車場-女廁,三芝區埔頭里淡金公路1段63號,縣市政府,25.25714800000000000,121.50081100000000000,特優級,女廁所,公家機關設置供民眾使用者
新北市,石碇區,彭山里,F190000050,石碇彭山-女廁,彭山村1鄰6號,縣市政府,24.97410200000000000,121.67311500000000000,特優級,女廁所,觀光地區及風景區
新北市,石碇區,烏塗里,F190000047,石碇區烏塗里烏塗窟-混和廁,烏塗窟11號,縣市政府,24.96925400000000000,121.64382800000000000,特優級,混合廁所,觀光地區及風景區
新北市,林口區,菁湖里,F170000083,林口竹林山寺左側-男廁,林口區竹林路325號,其他,25.08362600000000000,121.38921600000000000,特優級,混合廁所,寺廟教堂等宗教活動場所
臺中市,南屯區,大業里,B070000347,大業國中第三棟左側司令台旁(女廁),臺中市南屯區大業路100號,縣市政府,24.15446400000000000,120.65249700000000000,特優級,女廁所,各級機關學校
臺中市,南屯區,大業里,B070000336,台灣中油公益路站-男廁,臺中市南屯區公益路二段2號,經濟部,24.15111100000000000,120.65268800000000000,特優級,男廁所,加油站
臺中市,南屯區,文山里,B070000207,保安公園(男廁),臺中市南屯區嶺東路與文山五街口,縣市政府,24.14648000000000000,120.61162000000000000,特優級,男廁所,公園
臺中市,南屯區,春社里,B070000188,春社公園(男廁),臺中市南屯區嶺東路與永春北路間,縣市政府,24.14039000000000000,120.61162000000000000,特優級,男廁所,公園
臺中市,中　區,大墩里,B010000021,光復國小(男廁),臺中市中區三民路二段148號,縣市政府,24.14416000000000000,120.68129000000000000,特優級,男廁所,各級機關學校
嘉義市,東　區,東興里,I010000701,市政府2F近中山路男廁,嘉義市東區中山路199號,縣市政府,23.48130500000000000,120.45356600000000000,特優級,男廁所,公家機關設置供民眾使用者
新北市,汐止區,江北里,F110000204,汐止江北圖書館-女廁,汐止區汐萬路一段81號2樓,其他,25.06919500000000000,121.65491500000000000,特優級,無障礙廁所,文化育樂活動場所
新北市,汐止區,長安里,F110000168,汐止長安圖書館3F-男女廁,汐止區長興街一段50號3樓,其他,25.07833000000000000,121.66954900000000000,特優級,無障礙廁所,文化育樂活動場所
新北市,淡水區,沙崙里,F100000503,漁人碼頭北邊停車場4-女廁,"觀海路135號 ",縣市政府,25.18139500000000000,121.41677700000000000,特優級,女廁所,觀光地區及風景區
新北市,淡水區,沙崙里,F100000500,漁人碼頭北邊停車場1-女廁,"觀海路135號 ",縣市政府,25.18139500000000000,121.41677700000000000,特優級,女廁所,觀光地區及風景區
新北市,淡水區,鄧公里,F100000277,淡水鄞山寺-女廁,"鄧公路15號 ",其他,25.16887300000000000,121.44824400000000000,優等級,女廁所,寺廟教堂等宗教活動場所
彰化縣,鹿港鎮,永安里,N020000226,鹿港基督教醫院(男廁),彰化縣鹿港鎮中正路480號,縣市政府,24.06037900000000000,120.43821100000000000,特優級,男廁所,醫院
彰化縣,鹿港鎮,永安里,N020000223,鹿港基督教醫院路加醫療大樓(男廁),彰化縣鹿港鎮永安二路37號,縣市政府,24.06073500000000000,120.43998600000000000,特優級,男廁所,醫院
臺南市,後壁區,竹新里,D050000054,中油新營服務區北上加油站男廁,臺南市後壁區竹新里新厝７０號,經濟部,23.33998400000000000,120.31328000000000000,特優級,男廁所,加油站
